除息日,股票代码,股票名称,股利类型,拆分前股数,拆分比例,拆分后股数,现金红利总额,货币
2012-07-05,601336.SS,新华保险(A),Regular Cash,23780488.00,0.0,23780488.00,2140243.92, 人民币(CNY) 
2012-08-16,601336.SS,新华保险(A),Special Cash,23780488.00,0.0,23780488.00,7623073.23, 人民币(CNY) 
2014-05-22,1336.HK,新华保险(H),Final,31204100.00,0.0,31204100.00,4212553.50, 港币(HKD) 
2014-07-15,601336.SS,新华保险(A),Regular Cash,11396517.00,0.0,11396517.00,1709477.55, 人民币(CNY) 
2015-06-10,1117.HK,现代牧业,Final,179477000.00,0.0,179477000.00,1794770.00, 港币(HKD) 
2015-06-26,1336.HK,新华保险(H),Final,96615800.00,0.0,96615800.00,18260386.20, 港币(HKD) 
2016-05-12,NRF,Northstar Realty Finance,Regular Cash,966927.00,0.0,966927.00,386770.80, 美元(USD) 
2016-06-30,002027.SZ,分众传媒,Bonus,333020786.00,2.0,666041572.00,0.00, 人民币(CNY) 
2016-06-30,002027.SZ,分众传媒,Regular Cash,333020786.00,0.0,333020786.00,29734093.90, 人民币(CNY) 
2016-07-11,1336.HK,新华保险(H),Final,142807200.00,0.0,142807200.00,35987414.40, 港币(HKD) 
2016-08-11,NRF,Northstar Realty Finance,Regular Cash,966927.00,0.0,966927.00,386770.80, 美元(USD) 
2016-11-09,NRF,Northstar Realty Finance,Regular Cash,966927.00,0.0,966927.00,386770.80, 美元(USD) 
2016-12-05,COWN,COWEN GROUP-A,Stock Split,150225.00,0.25,37556.25,0.00, 美元(USD) 
2017-03-29,CLNS,Colony Northstar,Pro Rata,1131364.00,0.0,1131364.00,271527.36, 美元(USD) 
2017-06-28,CLNS,Colony Northstar,Regular Cash,1395926.00,0.0,1395926.00,376900.02, 美元(USD) 
2017-07-06,002027.SZ,分众传媒,Bonus,548320346.00,1.4,767648484.40,0.00, 人民币(CNY) 
2017-07-06,002027.SZ,分众传媒,Regular Cash,548320346.00,0.0,548320346.00,159796450.11, 人民币(CNY) 
2017-07-11,1336.HK,新华保险(H),Final,156269200.00,0.0,156269200.00,75009216.00, 港币(HKD) 
2017-09-28,CLNS,Colony Northstar,Regular Cash,1446014.00,0.0,1446014.00,390423.78, 美元(USD) 
2017-12-28,CLNS,Colony Northstar,Regular Cash,5246020.00,0.0,5246020.00,1416425.40, 美元(USD) 
2018-03-28,CLNS,Colony Northstar,Regular Cash,8632161.00,0.0,8632161.00,949537.71, 美元(USD) 
