tradingDate,USDRate,EURRate,HKDRate
1994-08-31,8.5616 ,,
1994-09-01,8.5591 ,,1.10750 
1994-09-02,8.5565 ,,1.10720 
1994-09-05,8.5540 ,,1.10690 
1994-09-06,8.5511 ,,1.10670 
1994-09-07,8.5491 ,,1.10650 
1994-09-08,8.5470 ,,1.10600 
1994-09-09,8.5448 ,,1.10570 
1994-09-10,8.5422 ,,1.10540 
1994-09-13,8.5407 ,,1.10530 
1994-09-14,8.5396 ,,1.10510 
1994-09-15,8.5381 ,,1.10500 
1994-09-16,8.5365 ,,1.10480 
1994-09-17,8.5352 ,,1.10460 
1994-09-20,8.5340 ,,1.10440 
1994-09-21,8.5337 ,,1.10430 
1994-09-22,8.5333 ,,1.10430 
1994-09-23,8.5325 ,,1.10420 
1994-09-24,8.5320 ,,1.10410 
1994-09-27,8.5311 ,,1.10400 
1994-09-28,8.5303 ,,1.10390 
1994-09-29,8.5303 ,,1.10390 
1994-09-30,8.5301 ,,1.10390 
1994-10-01,8.5300 ,,1.10380 
1994-10-06,8.5301 ,,1.10380 
1994-10-07,8.5300 ,,1.10380 
1994-10-08,8.5300 ,,1.10380 
1994-10-11,8.5297 ,,1.10380 
1994-10-12,8.5297 ,,1.10380 
1994-10-13,8.5298 ,,1.10370 
1994-10-14,8.5297 ,,1.10380 
1994-10-15,8.5297 ,,1.10380 
1994-10-18,8.5296 ,,1.10380 
1994-10-19,8.5296 ,,1.10390 
1994-10-20,8.5295 ,,1.10380 
1994-10-21,8.5295 ,,1.10390 
1994-10-22,8.5295 ,,1.10390 
1994-10-25,8.5290 ,,1.10370 
1994-10-26,8.5285 ,,1.10370 
1994-10-27,8.5282 ,,1.10360 
1994-10-28,8.5273 ,,1.10350 
1994-10-29,8.5266 ,,1.10340 
1994-11-01,8.5260 ,,1.10330 
1994-11-02,8.5254 ,,1.10330 
1994-11-03,8.5248 ,,1.10320 
1994-11-04,8.5238 ,,1.10300 
1994-11-05,8.5227 ,,1.10250 
1994-11-08,8.5218 ,,1.10250 
1994-11-09,8.5208 ,,1.10250 
1994-11-10,8.5200 ,,1.10240 
1994-11-11,8.5190 ,,1.10230 
1994-11-12,8.5180 ,,1.10220 
1994-11-15,8.5174 ,,1.10210 
1994-11-16,8.5163 ,,1.10190 
1994-11-17,8.5153 ,,1.10170 
1994-11-18,8.5140 ,,1.10150 
1994-11-19,8.5136 ,,1.10100 
1994-11-22,8.5131 ,,1.10110 
1994-11-23,8.5126 ,,1.10100 
1994-11-24,8.5120 ,,1.10080 
1994-11-25,8.5111 ,,1.10080 
1994-11-26,8.5105 ,,1.10070 
1994-11-29,8.5101 ,,1.10070 
1994-11-30,8.5093 ,,1.10050 
1994-12-01,8.5090 ,,1.10030 
1994-12-02,8.5084 ,,1.10020 
1994-12-03,8.5079 ,,1.09990 
1994-12-06,8.5074 ,,1.09970 
1994-12-07,8.5070 ,,1.10000 
1994-12-08,8.5041 ,,1.09930 
1994-12-09,8.5025 ,,1.09890 
1994-12-10,8.4992 ,,1.09840 
1994-12-13,8.4960 ,,1.09800 
1994-12-14,8.4930 ,,1.09750 
1994-12-15,8.4901 ,,1.09690 
1994-12-16,8.4874 ,,1.09670 
1994-12-17,8.4835 ,,1.09630 
1994-12-20,8.4801 ,,1.09600 
1994-12-21,8.4754 ,,1.09520 
1994-12-22,8.4720 ,,1.09490 
1994-12-23,8.4677 ,,1.09430 
1994-12-24,8.4626 ,,1.09360 
1994-12-27,8.4588 ,,1.09330 
1994-12-28,8.4550 ,,1.09250 
1994-12-29,8.4518 ,,1.09210 
1994-12-30,8.4491 ,,1.09180 
1994-12-31,8.4462 ,,1.09140 
1995-01-04,8.4447 ,,1.09150 
1995-01-05,8.4437 ,,1.09120 
1995-01-06,8.4430 ,,1.09070 
1995-01-07,8.4426 ,,1.09020 
1995-01-10,8.4422 ,,1.08860 
1995-01-11,8.4417 ,,1.08860 
1995-01-12,8.4415 ,,1.08750 
1995-01-13,8.4412 ,,1.08690 
1995-01-14,8.4411 ,,1.08890 
1995-01-17,8.4410 ,,1.08950 
1995-01-18,8.4407 ,,1.09000 
1995-01-19,8.4405 ,,1.09020 
1995-01-20,8.4402 ,,1.09050 
1995-01-21,8.4400 ,,1.08970 
1995-01-24,8.4397 ,,1.09120 
1995-01-25,8.4394 ,,1.09090 
1995-01-26,8.4390 ,,1.09120 
1995-01-27,8.4387 ,,1.09130 
1995-02-06,8.4384 ,,1.09151 
1995-02-07,8.4380 ,,1.09121 
1995-02-08,8.4375 ,,1.09130 
1995-02-09,8.4370 ,,1.09110 
1995-02-10,8.4364 ,,1.09110 
1995-02-11,8.4360 ,,1.09110 
1995-02-14,8.4355 ,,1.09080 
1995-02-15,8.4352 ,,1.09110 
1995-02-16,8.4351 ,,1.09110 
1995-02-17,8.4352 ,,1.09110 
1995-02-18,8.4327 ,,1.09110 
1995-02-21,8.4340 ,,1.09100 
1995-02-22,8.4337 ,,1.09090 
1995-02-23,8.4329 ,,1.09080 
1995-02-24,8.4324 ,,1.09080 
1995-02-25,8.4320 ,,1.09070 
1995-02-28,8.4316 ,,1.09060 
1995-03-01,8.4311 ,,1.09050 
1995-03-02,8.4308 ,,1.09030 
