ISIN,Date,Interest,Principal
US01609WAQ50 CORP,2015/11/28,18000,1000000
US01609WAQ50 CORP,2016/5/28,18000,1000000
US01609WAQ50 CORP,2016/11/28,18000,1000000
US01609WAQ50 CORP,2017/5/28,18000,1000000
US01609WAQ50 CORP,2017/11/28,18000,1000000
US01609WAQ50 CORP,2018/5/28,18000,1000000
US01609WAQ50 CORP,2018/11/28,18000,1000000
US01609WAQ50 CORP,2019/5/28,18000,1000000
US01609WAQ50 CORP,2019/11/28,18000,1000000
US01609WAQ50 CORP,2020/5/28,18000,1000000
US01609WAQ50 CORP,2020/11/28,18000,1000000
US01609WAQ50 CORP,2021/5/28,18000,1000000
US01609WAQ50 CORP,2021/11/28,18000,1000000
US01609WAQ50 CORP,2022/5/28,18000,1000000
US01609WAQ50 CORP,2022/11/28,18000,1000000
US01609WAQ50 CORP,2023/5/28,18000,1000000
US01609WAQ50 CORP,2023/11/28,18000,1000000
US01609WAQ50 CORP,2024/5/28,18000,1000000
US01609WAQ50 CORP,2024/11/28,18000,1000000
US00507VAJ89 CORP,2017/3/15,16622.222,1000000
US00507VAJ89 CORP,2017/9/15,17000,1000000
US00507VAJ89 CORP,2018/3/15,17000,1000000
US00507VAJ89 CORP,2018/9/15,17000,1000000
US00507VAJ89 CORP,2019/3/15,17000,1000000
US00507VAJ89 CORP,2019/9/15,17000,1000000
US00507VAJ89 CORP,2020/3/15,17000,1000000
US00507VAJ89 CORP,2020/9/15,17000,1000000
US00507VAJ89 CORP,2021/3/15,17000,1000000
US00507VAJ89 CORP,2021/9/15,17000,1000000
US00507VAJ89 CORP,2022/3/15,17000,1000000
US00507VAJ89 CORP,2022/9/15,17000,1000000
US00507VAJ89 CORP,2023/3/15,17000,1000000
US00507VAJ89 CORP,2023/9/15,17000,1000000
US00507VAJ89 CORP,2024/3/15,17000,1000000
US00507VAJ89 CORP,2024/9/15,17000,1000000
US00507VAJ89 CORP,2025/3/15,17000,1000000
US00507VAJ89 CORP,2025/9/15,17000,1000000
US00507VAJ89 CORP,2026/3/15,17000,1000000
US00507VAJ89 CORP,2026/9/15,17000,1000000
USU00568AE27 CORP,2017/3/15,16622.222,1000000
USU00568AE27 CORP,2017/9/15,17000,1000000
USU00568AE27 CORP,2018/3/15,17000,1000000
USU00568AE27 CORP,2018/9/15,17000,1000000
USU00568AE27 CORP,2019/3/15,17000,1000000
USU00568AE27 CORP,2019/9/15,17000,1000000
USU00568AE27 CORP,2020/3/15,17000,1000000
USU00568AE27 CORP,2020/9/15,17000,1000000
USU00568AE27 CORP,2021/3/15,17000,1000000
USU00568AE27 CORP,2021/9/15,17000,1000000
USU00568AE27 CORP,2022/3/15,17000,1000000
USU00568AE27 CORP,2022/9/15,17000,1000000
USU00568AE27 CORP,2023/3/15,17000,1000000
USU00568AE27 CORP,2023/9/15,17000,1000000
USU00568AE27 CORP,2024/3/15,17000,1000000
USU00568AE27 CORP,2024/9/15,17000,1000000
USU00568AE27 CORP,2025/3/15,17000,1000000
USU00568AE27 CORP,2025/9/15,17000,1000000
USU00568AE27 CORP,2026/3/15,17000,1000000
USU00568AE27 CORP,2026/9/15,17000,1000000
US00170F2092 CORP,2010/4/15,643.75,50000
US00170F2092 CORP,2010/7/15,643.75,50000
US00170F2092 CORP,2010/10/15,643.75,50000
US00170F2092 CORP,2011/1/15,643.75,50000
US00170F2092 CORP,2011/4/15,643.75,50000
US00170F2092 CORP,2011/7/15,643.75,50000
US00170F2092 CORP,2011/10/15,643.75,50000
US00170F2092 CORP,2012/1/15,643.75,50000
US00170F2092 CORP,2012/4/15,643.75,50000
US00170F2092 CORP,2012/7/15,643.75,50000
US00170F2092 CORP,2012/10/15,643.75,50000
US00170F2092 CORP,2013/1/15,643.75,50000
US00170F2092 CORP,2013/4/15,643.75,50000
US00170F2092 CORP,2013/7/15,643.75,50000
US00170F2092 CORP,2013/10/15,643.75,50000
US00170F2092 CORP,2014/1/15,643.75,50000
US00170F2092 CORP,2014/4/15,643.75,50000
US00170F2092 CORP,2014/7/15,643.75,50000
US00170F2092 CORP,2014/10/15,643.75,50000
US00170F2092 CORP,2015/1/15,643.75,50000
US00170F2092 CORP,2015/4/15,643.75,50000
US00170F2092 CORP,2015/7/15,643.75,50000
US00170F2092 CORP,2015/10/15,643.75,50000
US00170F2092 CORP,2016/1/15,643.75,50000
US00170F2092 CORP,2016/4/15,643.75,50000
US00170F2092 CORP,2016/7/15,643.75,50000
US00170F2092 CORP,2016/10/15,643.75,50000
US00170F2092 CORP,2017/1/15,643.75,50000
US00170F2092 CORP,2017/4/15,643.75,50000
US00170F2092 CORP,2017/7/15,643.75,50000
US00170F2092 CORP,2017/10/15,643.75,50000
US00170F2092 CORP,2018/1/15,643.75,50000
