Date,Symbol,Price
2018/5/14,US00170F2092 CORP,61.4
2018/5/11,US00170F2092 CORP,63
2018/5/9,US00170F2092 CORP,61.05
2018/5/4,US00170F2092 CORP,63.37
2018/5/3,US00170F2092 CORP,61
2018/5/2,US00170F2092 CORP,61.265
2018/5/1,US00170F2092 CORP,61.125
2018/4/30,US00170F2092 CORP,61.5
2018/4/27,US00170F2092 CORP,62
2018/4/26,US00170F2092 CORP,64
2018/4/23,US00170F2092 CORP,61.5
2018/4/20,US00170F2092 CORP,60.75
2018/4/19,US00170F2092 CORP,61.25
2018/4/18,US00170F2092 CORP,61.941
2018/4/17,US00170F2092 CORP,61.8
2018/4/16,US00170F2092 CORP,61.876
2018/4/13,US00170F2092 CORP,61.88
2018/4/12,US00170F2092 CORP,61.9
2018/4/10,US00170F2092 CORP,60.75
2018/4/6,US00170F2092 CORP,61.625
2018/4/5,US00170F2092 CORP,62.386
2018/4/4,US00170F2092 CORP,60.75
2018/4/3,US00170F2092 CORP,61.953
2018/4/2,US00170F2092 CORP,62
2018/3/27,US00170F2092 CORP,63.05
2018/3/22,US00170F2092 CORP,63.125
2018/3/20,US00170F2092 CORP,62.5
2018/3/16,US00170F2092 CORP,65
2018/3/15,US00170F2092 CORP,63.4
2018/3/14,US00170F2092 CORP,63.1
2018/3/13,US00170F2092 CORP,63.2
2018/3/12,US00170F2092 CORP,60
2018/3/9,US00170F2092 CORP,63.375
2018/3/8,US00170F2092 CORP,62.5
2018/3/7,US00170F2092 CORP,62
2018/3/6,US00170F2092 CORP,63
2018/3/5,US00170F2092 CORP,63.125
2018/3/2,US00170F2092 CORP,63.15
2018/3/1,US00170F2092 CORP,62.75
2018/2/28,US00170F2092 CORP,63.12
2018/2/27,US00170F2092 CORP,63.5
2018/2/23,US00170F2092 CORP,63
2018/2/21,US00170F2092 CORP,63.199
2018/2/20,US00170F2092 CORP,62.5
2018/2/16,US00170F2092 CORP,63
2018/2/15,US00170F2092 CORP,60
2018/2/14,US00170F2092 CORP,62.625
2018/2/13,US00170F2092 CORP,62.302
2018/2/12,US00170F2092 CORP,62.113
2018/2/9,US00170F2092 CORP,61.46
2018/2/8,US00170F2092 CORP,63.25
2018/2/6,US00170F2092 CORP,62.5
2018/2/5,US00170F2092 CORP,63.25
2018/2/2,US00170F2092 CORP,63.75
2018/2/1,US00170F2092 CORP,62.5
2018/1/31,US00170F2092 CORP,63
2018/1/30,US00170F2092 CORP,63.875
2018/1/26,US00170F2092 CORP,64.5
2018/1/25,US00170F2092 CORP,64.25
2018/1/24,US00170F2092 CORP,64.4
2018/1/23,US00170F2092 CORP,64.125
2018/1/22,US00170F2092 CORP,64
2018/1/19,US00170F2092 CORP,64.375
2018/1/18,US00170F2092 CORP,63.75
2018/1/17,US00170F2092 CORP,64.625
2018/1/12,US00170F2092 CORP,63.5
2018/1/10,US00170F2092 CORP,64.12
2018/1/9,US00170F2092 CORP,64.75
2018/1/4,US00170F2092 CORP,64.25
2018/1/3,US00170F2092 CORP,64.125
2018/1/2,US00170F2092 CORP,64.65
2017/12/29,US00170F2092 CORP,63.75
2017/12/28,US00170F2092 CORP,64
2017/12/27,US00170F2092 CORP,64.05
