账户(出资实体),交易日期,股票代码,股票名称,交易,股数,交易货币,价格,股票总值,股票净值
Q,2011/6/9,601336.SS,新华保险(A),买入,"23,780,488.00", 人民币(CNY) ,21.03, -   ,"500,000,000.00"
Q,2012/12/24,601336.SS,新华保险(A),卖出,"-90,000.00", 人民币(CNY) ,26.52, -   ,"-2,383,165.80"
Q,2012/12/25,601336.SS,新华保险(A),卖出,"-423,437.00", 人民币(CNY) ,26.97, -   ,"-11,401,676.37"
Q,2012/12/31,601336.SS,新华保险(A),卖出,"-1,237,051.00", 人民币(CNY) ,28.4, -   ,"-35,083,008.22"
Q,2013/1/24,601336.SS,新华保险(A),卖出,"-304,700.00", 人民币(CNY) ,28.41,"-8,657,700.00","-8,644,530.51"
Q,2013/1/30,601336.SS,新华保险(A),卖出,"-738,705.00", 人民币(CNY) ,28.41,"-21,018,863.09","-20,986,891.40"
Q,2013/1/31,601336.SS,新华保险(A),卖出,"-822,766.00", 人民币(CNY) ,28.52,"-23,462,556.67","-23,426,868.94"
Q,2013/2/1,601336.SS,新华保险(A),卖出,"-2,200,000.00", 人民币(CNY) ,30.12,"-66,255,856.60","-66,155,152.38"
C,2013/2/1,1336.HK,新华保险(H),买入,"698,300.00", 港币(HKD) ,31.17,"21,762,659.16","21,807,925.83"
Q,2013/2/4,601336.SS,新华保险(A),卖出,"-710,019.00", 人民币(CNY) ,31.39,"-22,284,072.44","-22,250,220.26"
C,2013/2/4,1336.HK,新华保险(H),买入,"300,000.00", 港币(HKD) ,31.15,"9,344,070.00","9,363,506.59"
Q,2013/2/5,601336.SS,新华保险(A),卖出,"-229,005.00", 人民币(CNY) ,30.4,"-6,962,035.83","-6,951,455.26"
C,2013/2/5,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,29.75,"14,875,250.00","14,906,190.27"
Q,2013/2/6,601336.SS,新华保险(A),卖出,"-1,007,817.00", 人民币(CNY) ,30.65,"-30,893,994.17","-30,847,047.45"
C,2013/2/6,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,29.84,"14,919,000.00","14,950,031.52"
Q,2013/2/7,601336.SS,新华保险(A),卖出,"-945,800.00", 人民币(CNY) ,29.08,"-27,506,157.45","-27,464,330.13"
C,2013/2/7,1336.HK,新华保险(H),买入,"300,000.00", 港币(HKD) ,29.22,"8,765,100.00","8,783,332.30"
Q,2013/2/8,601336.SS,新华保险(A),卖出,"-802,592.00", 人民币(CNY) ,29.02,"-23,293,483.38","-23,258,061.00"
Q,2013/2/18,601336.SS,新华保险(A),卖出,"-672,699.00", 人民币(CNY) ,29.03,"-19,526,474.53","-19,496,780.78"
Q,2013/2/19,601336.SS,新华保险(A),卖出,"-670,000.00", 人民币(CNY) ,28.34,"-18,989,590.40","-18,960,703.82"
Q,2013/2/20,601336.SS,新华保险(A),卖出,"-746,453.00", 人民币(CNY) ,28.18,"-21,037,918.98","-21,005,914.03"
Q,2013/2/28,601336.SS,新华保险(A),卖出,"-56,617.00", 人民币(CNY) ,28.01,"-1,585,955.17","-1,583,542.27"
J,2013/7/12,1336.HK,新华保险(H),买入,"17,000,000.00", 港币(HKD) ,22.64,"384,825,600.00","384,825,600.00"
C,2013/8/2,1336.HK,新华保险(H),买入,"300,000.00", 港币(HKD) ,20.94,"6,282,840.00","6,294,651.90"
C,2013/8/5,1336.HK,新华保险(H),买入,"35,600.00", 港币(HKD) ,21,"747,600.00","749,607.81"
C,2013/8/6,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.62,"10,310,050.00","10,329,433.84"
C,2013/8/7,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.52,"10,258,500.00","10,277,786.49"
C,2013/8/8,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.46,"10,227,800.00","10,247,028.46"
C,2013/8/9,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.51,"10,255,600.00","10,274,880.93"
C,2013/8/21,1336.HK,新华保险(H),买入,"414,800.00", 港币(HKD) ,20.89,"8,665,006.08","8,681,297.28"
C,2013/8/22,1336.HK,新华保险(H),买入,"118,500.00", 港币(HKD) ,20.98,"2,486,568.45","2,491,243.63"
C,2013/8/28,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.61,"10,305,900.00","10,325,275.20"
C,2013/8/29,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,20.58,"10,291,050.00","10,310,398.12"
C,2013/8/30,1336.HK,新华保险(H),买入,"6,600.00", 港币(HKD) ,21,"138,600.00","139,950.09"
C,2013/9/2,1336.HK,新华保险(H),买入,"155,200.00", 港币(HKD) ,20.98,"3,256,359.84","3,262,482.44"
Q,2013/9/9,601336.SS,新华保险(A),卖出,"-2,007,715.00", 人民币(CNY) ,24.07,"-48,324,305.86","-48,250,667.52"
J,2013/9/9,1336.HK,新华保险(H),买入,"2,000,000.00", 港币(HKD) ,22.73,"45,468,020.00","45,553,500.86"
Q,2013/9/11,601336.SS,新华保险(A),卖出,"-2,002,481.00", 人民币(CNY) ,25.18,"-50,420,081.39","-50,343,249.43"
Q,2013/9/12,601336.SS,新华保险(A),卖出,"-2,008,042.00", 人民币(CNY) ,25.18,"-50,564,312.26","-50,487,260.37"
J,2013/9/12,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,23.44,"11,718,145.00","11,740,175.97"
Q,2013/9/13,601336.SS,新华保险(A),卖出,"-1,752,728.00", 人民币(CNY) ,25.22,"-44,202,315.88","-44,134,960.16"
J,2013/9/13,1336.HK,新华保险(H),买入,"500,000.00", 港币(HKD) ,23.17,"11,582,800.00","11,604,575.86"
Q,2013/9/16,601336.SS,新华保险(A),卖出,"-1,002,078.00", 人民币(CNY) ,25.2,"-25,256,823.98","-25,218,337.28"
Q,2013/9/17,601336.SS,新华保险(A),卖出,"-1,002,789.00", 人民币(CNY) ,25.58,"-25,648,014.74","-25,608,940.86"
J,2013/11/19,1336.HK,新华保险(H),卖出,"-50,700.00", 港币(HKD) ,27.22,"-1,380,139.99","-1,377,544.47"
J,2013/11/20,1336.HK,新华保险(H),卖出,"-1,000,000.00", 港币(HKD) ,27.07,"-27,066,340.00","-27,015,454.62"
J,2013/11/21,1336.HK,新华保险(H),买入,"5,800,000.00", 港币(HKD) ,25,"145,000,000.00","145,000,000.00"
J,2013/12/3,1336.HK,新华保险(H),卖出,"-68,500.00", 港币(HKD) ,29,"-1,986,500.00","-1,982,764.87"
Q,2013/12/4,601336.SS,新华保险(A),卖出,"-720,000.00", 人民币(CNY) ,25.02,"-18,016,463.06","-17,989,006.29"
Q,2013/12/5,601336.SS,新华保险(A),卖出,"-729,300.00", 人民币(CNY) ,25.01,"-18,239,467.06","-18,211,670.18"
L,2014/4/16,601336.SS,新华保险(A),买入,"999,917.00", 人民币(CNY) ,20.76,"20,755,105.01","20,757,264.32"
I,2014/4/17,1336.HK,新华保险(H),买入,"12,300.00", 港币(HKD) ,23.1,"284,130.00","284,784.37"
I,2014/4/22,1336.HK,新华保险(H),买入,"22,000.00", 港币(HKD) ,22.95,"504,904.40","506,065.79"
I,2014/4/23,1336.HK,新华保险(H),买入,"30,000.00", 港币(HKD) ,22.7,"681,039.00","682,606.35"
I,2014/4/24,1336.HK,新华保险(H),买入,"30,000.00", 港币(HKD) ,22.68,"680,340.00","681,905.45"
I,2014/4/28,1336.HK,新华保险(H),买入,"30,000.00", 港币(HKD) ,22.5,"674,919.00","676,471.40"
