Date,Symbol,Price
2010/11/25,1117.HK,2.89
2010/11/26,1117.HK,2.51
2010/11/29,1117.HK,2.48
2010/11/30,1117.HK,2.45
2010/12/1,1117.HK,2.42
2010/12/2,1117.HK,2.57
2010/12/3,1117.HK,2.48
2010/12/6,1117.HK,2.5
2010/12/7,1117.HK,2.53
2010/12/8,1117.HK,2.6
2010/12/9,1117.HK,2.65
2010/12/10,1117.HK,2.65
2010/12/13,1117.HK,2.58
2010/12/14,1117.HK,2.57
2010/12/15,1117.HK,2.53
2010/12/16,1117.HK,2.47
2010/12/17,1117.HK,2.43
2010/12/20,1117.HK,2.41
2010/12/21,1117.HK,2.43
2010/12/22,1117.HK,2.47
2010/12/23,1117.HK,2.4
2010/12/24,1117.HK,2.42
2010/12/27,1117.HK,NA
2010/12/28,1117.HK,2.41
2010/12/29,1117.HK,2.5
2010/12/30,1117.HK,2.56
2010/12/31,1117.HK,2.6
2011/1/4,1117.HK,2.55
2011/1/5,1117.HK,2.63
2011/1/6,1117.HK,2.62
2011/1/7,1117.HK,2.61
2011/1/10,1117.HK,2.64
2011/1/11,1117.HK,2.64
2011/1/12,1117.HK,2.66
2011/1/13,1117.HK,2.65
2011/1/14,1117.HK,2.65
2011/1/17,1117.HK,2.66
2011/1/18,1117.HK,2.66
2011/1/19,1117.HK,2.66
2011/1/20,1117.HK,2.62
2011/1/21,1117.HK,2.61
2011/1/24,1117.HK,2.63
2011/1/25,1117.HK,2.61
2011/1/26,1117.HK,2.63
2011/1/27,1117.HK,2.62
2011/1/28,1117.HK,2.75
2011/1/31,1117.HK,2.84
2011/2/1,1117.HK,2.85
2011/2/9,1117.HK,2.77
2011/2/10,1117.HK,2.72
2011/2/11,1117.HK,2.71
2011/2/14,1117.HK,2.74
2011/2/15,1117.HK,2.7
2011/2/16,1117.HK,2.65
2011/2/17,1117.HK,2.65
2011/2/18,1117.HK,2.62
2011/2/21,1117.HK,2.6
2011/2/22,1117.HK,2.54
2011/2/23,1117.HK,2.53
2011/2/24,1117.HK,2.53
2011/2/25,1117.HK,2.54
2011/2/28,1117.HK,2.61
2011/3/1,1117.HK,2.61
2011/3/2,1117.HK,2.6
2011/3/3,1117.HK,2.58
2011/3/4,1117.HK,2.6
2011/3/7,1117.HK,2.45
2011/3/8,1117.HK,2.47
2011/3/9,1117.HK,2.43
2011/3/10,1117.HK,2.44
2011/3/11,1117.HK,2.45
2011/3/14,1117.HK,2.5
2011/3/15,1117.HK,2.46
2011/3/16,1117.HK,2.56
2011/3/17,1117.HK,2.55
2011/3/18,1117.HK,2.57
2011/3/21,1117.HK,2.55
2011/3/22,1117.HK,2.56
2011/3/23,1117.HK,2.49
2011/3/24,1117.HK,2.47
2011/3/25,1117.HK,2.45
2011/3/28,1117.HK,2.47
2011/3/29,1117.HK,2.48
2011/3/30,1117.HK,2.48
2011/3/31,1117.HK,2.48
2011/4/1,1117.HK,2.47
2011/4/6,1117.HK,2.45
2011/4/7,1117.HK,2.44
2011/4/8,1117.HK,2.43
2011/4/11,1117.HK,2.52
2011/4/12,1117.HK,2.48
2011/4/13,1117.HK,2.46
2011/4/14,1117.HK,2.44
2011/4/15,1117.HK,2.45
2011/4/18,1117.HK,2.41
2011/4/19,1117.HK,2.37
2011/4/20,1117.HK,2.4
2011/4/21,1117.HK,2.38
2011/4/22,1117.HK,NA
2011/4/25,1117.HK,NA
2011/4/26,1117.HK,2.38
2011/4/27,1117.HK,2.49
2011/4/28,1117.HK,2.47
2011/4/29,1117.HK,2.42
2011/5/3,1117.HK,2.41
2011/5/4,1117.HK,2.43
2011/5/5,1117.HK,2.47
2011/5/6,1117.HK,2.44
2011/5/9,1117.HK,2.45
2011/5/10,1117.HK,NA
2011/5/11,1117.HK,2.51
2011/5/12,1117.HK,2.53
2011/5/13,1117.HK,2.6
2011/5/16,1117.HK,2.57
2011/5/17,1117.HK,2.62
2011/5/18,1117.HK,2.64
2011/5/19,1117.HK,2.57
2011/5/20,1117.HK,2.52
2011/5/23,1117.HK,2.47
2011/5/24,1117.HK,2.45
2011/5/25,1117.HK,2.43
2011/5/26,1117.HK,2.44
2011/5/27,1117.HK,2.47
2011/5/30,1117.HK,2.55
2011/5/31,1117.HK,2.63
2011/6/1,1117.HK,2.6
2011/6/2,1117.HK,2.5
2011/6/3,1117.HK,2.5
2011/6/7,1117.HK,2.5
2011/6/8,1117.HK,2.5
2011/6/9,1117.HK,2.49
2011/6/10,1117.HK,2.48
2011/6/13,1117.HK,2.47
2011/6/14,1117.HK,2.48
2011/6/15,1117.HK,2.47
2011/6/16,1117.HK,2.44
2011/6/17,1117.HK,2.44
2011/6/20,1117.HK,2.42
2011/6/21,1117.HK,2.44
2011/6/22,1117.HK,2.47
2011/6/23,1117.HK,2.41
2011/6/24,1117.HK,2.41
2011/6/27,1117.HK,2.37
2011/6/28,1117.HK,2.4
2011/6/29,1117.HK,2.43
2011/6/30,1117.HK,2.4
2011/7/1,1117.HK,NA
2011/7/4,1117.HK,2.45
2011/7/5,1117.HK,2.43
2011/7/6,1117.HK,2.43
2011/7/7,1117.HK,2.45
2011/7/8,1117.HK,2.44
2011/7/11,1117.HK,2.43
2011/7/12,1117.HK,2.38
2011/7/13,1117.HK,2.39
2011/7/14,1117.HK,2.38
2011/7/15,1117.HK,2.37
2011/7/18,1117.HK,2.39
2011/7/19,1117.HK,2.35
2011/7/20,1117.HK,2.35
2011/7/21,1117.HK,2.34
2011/7/22,1117.HK,2.34
2011/7/25,1117.HK,2.32
2011/7/26,1117.HK,2.34
2011/7/27,1117.HK,2.34
2011/7/28,1117.HK,2.4
2011/7/29,1117.HK,2.38
2011/8/1,1117.HK,2.39
2011/8/2,1117.HK,2.43
2011/8/3,1117.HK,2.4
2011/8/4,1117.HK,2.39
2011/8/5,1117.HK,2.32
2011/8/8,1117.HK,2.18
2011/8/9,1117.HK,2.1
2011/8/10,1117.HK,2.12
2011/8/11,1117.HK,2.01
2011/8/12,1117.HK,1.99
2011/8/15,1117.HK,1.93
2011/8/16,1117.HK,1.9
2011/8/17,1117.HK,1.88
2011/8/18,1117.HK,1.8
2011/8/19,1117.HK,1.75
2011/8/22,1117.HK,1.84
2011/8/23,1117.HK,1.92
2011/8/24,1117.HK,1.87
2011/8/25,1117.HK,1.96
2011/8/26,1117.HK,1.98
2011/8/29,1117.HK,2.05
2011/8/30,1117.HK,2.15
2011/8/31,1117.HK,2.15
2011/9/1,1117.HK,2.11
2011/9/2,1117.HK,2.11
2011/9/5,1117.HK,2.05
2011/9/6,1117.HK,1.95
2011/9/7,1117.HK,1.89
2011/9/8,1117.HK,1.89
2011/9/9,1117.HK,1.89
2011/9/13,1117.HK,NA
2011/9/14,1117.HK,1.81
2011/9/15,1117.HK,1.79
2011/9/16,1117.HK,1.8
2011/9/19,1117.HK,1.8
2011/9/20,1117.HK,1.8
2011/9/21,1117.HK,1.79
2011/9/22,1117.HK,1.8
2011/9/23,1117.HK,1.78
2011/9/26,1117.HK,1.72
2011/9/27,1117.HK,1.78
2011/9/28,1117.HK,1.79
2011/9/29,1117.HK,NA
2011/9/30,1117.HK,1.65
2011/10/10,1117.HK,1.6
2011/10/11,1117.HK,1.66
2011/10/12,1117.HK,1.77
2011/10/13,1117.HK,1.94
2011/10/14,1117.HK,1.87
2011/10/17,1117.HK,1.89
2011/10/18,1117.HK,1.76
2011/10/19,1117.HK,1.81
2011/10/20,1117.HK,1.7
2011/10/21,1117.HK,1.85
2011/10/24,1117.HK,1.81
2011/10/25,1117.HK,1.78
2011/10/26,1117.HK,1.77
